Area name,Area code,Area type,Specimen date,Daily lab-confirmed cases,Cumulative lab-confirmed cases
England,E92000001,Country,18/04/2020,128,90629
West Midlands,E12000005,Region,18/04/2020,10,9427
East of England,E12000006,Region,18/04/2020,0,7476
North West,E12000002,Region,18/04/2020,5,13871
East Midlands,E12000004,Region,18/04/2020,0,5154
South West,E12000009,Region,18/04/2020,10,4669
London,E12000007,Region,18/04/2020,3,21357
Yorkshire and The Humber,E12000003,Region,18/04/2020,30,6881
North East,E12000001,Region,18/04/2020,21,5395
South East,E12000008,Region,18/04/2020,44,12563
Barking and Dagenham,E09000002,Upper tier local authority,18/04/2020,0,393
Barnet,E09000003,Upper tier local authority,18/04/2020,0,1069
Barnsley,E08000016,Upper tier local authority,18/04/2020,3,454
Bath and North East Somerset,E06000022,Upper tier local authority,18/04/2020,0,166
Bedford,E06000055,Upper tier local authority,18/04/2020,0,289
Bexley,E09000004,Upper tier local authority,18/04/2020,1,501
Birmingham,E08000025,Upper tier local authority,18/04/2020,0,2243
Blackburn with Darwen,E06000008,Upper tier local authority,18/04/2020,0,222
Blackpool,E06000009,Upper tier local authority,18/04/2020,0,224
Bolton,E08000001,Upper tier local authority,18/04/2020,0,545
"Bournemouth, Christchurch and Poole",E06000058,Upper tier local authority,18/04/2020,0,308
Bracknell Forest,E06000036,Upper tier local authority,18/04/2020,0,155
Bradford,E08000032,Upper tier local authority,18/04/2020,1,564
Brent,E09000005,Upper tier local authority,18/04/2020,0,1182
Brighton and Hove,E06000043,Upper tier local authority,18/04/2020,0,292
"Bristol, City of",E06000023,Upper tier local authority,18/04/2020,0,454
Bromley,E09000006,Upper tier local authority,18/04/2020,0,900
Buckinghamshire,E10000002,Upper tier local authority,18/04/2020,0,613
Bury,E08000002,Upper tier local authority,18/04/2020,0,309
Calderdale,E08000033,Upper tier local authority,18/04/2020,2,189
Cambridgeshire,E10000003,Upper tier local authority,18/04/2020,0,502
Camden,E09000007,Upper tier local authority,18/04/2020,0,501
Central Bedfordshire,E06000056,Upper tier local authority,18/04/2020,0,360
Cheshire East,E06000049,Upper tier local authority,18/04/2020,1,588
Cheshire West and Chester,E06000050,Upper tier local authority,18/04/2020,0,546
City of London,E09000001,Upper tier local authority,18/04/2020,0,13
Cornwall and Isles of Scilly,E06000052,Upper tier local authority,18/04/2020,4,396
County Durham,E06000047,Upper tier local authority,18/04/2020,2,894
Coventry,E08000026,Upper tier local authority,18/04/2020,0,493
Croydon,E09000008,Upper tier local authority,18/04/2020,0,1170
Cumbria,E10000006,Upper tier local authority,18/04/2020,0,1467
Darlington,E06000005,Upper tier local authority,18/04/2020,0,178
Derby,E06000015,Upper tier local authority,18/04/2020,0,401
Derbyshire,E10000007,Upper tier local authority,18/04/2020,0,901
Devon,E10000008,Upper tier local authority,18/04/2020,1,517
Doncaster,E08000017,Upper tier local authority,18/04/2020,1,265
Dorset,E06000059,Upper tier local authority,18/04/2020,0,239
Dudley,E08000027,Upper tier local authority,18/04/2020,0,564
Ealing,E09000009,Upper tier local authority,18/04/2020,0,906
East Riding of Yorkshire,E06000011,Upper tier local authority,18/04/2020,0,330
East Sussex,E10000011,Upper tier local authority,18/04/2020,5,433
Enfield,E09000010,Upper tier local authority,18/04/2020,0,672
Essex,E10000012,Upper tier local authority,18/04/2020,0,1846
Gateshead,E08000037,Upper tier local authority,18/04/2020,9,567
Gloucestershire,E10000013,Upper tier local authority,18/04/2020,0,904
Greenwich,E09000011,Upper tier local authority,18/04/2020,0,560
Hackney,E09000012,Upper tier local authority,18/04/2020,0,552
Halton,E06000006,Upper tier local authority,18/04/2020,0,256
Hammersmith and Fulham,E09000013,Upper tier local authority,18/04/2020,0,465
Hampshire,E10000014,Upper tier local authority,18/04/2020,27,2122
Haringey,E09000014,Upper tier local authority,18/04/2020,0,484
Harrow,E09000015,Upper tier local authority,18/04/2020,0,761
Hartlepool,E06000001,Upper tier local authority,18/04/2020,0,84
Havering,E09000016,Upper tier local authority,18/04/2020,0,552
"Herefordshire, County of",E06000019,Upper tier local authority,18/04/2020,0,141
Hertfordshire,E10000015,Upper tier local authority,18/04/2020,0,1808
Hillingdon,E09000017,Upper tier local authority,18/04/2020,0,602
Hounslow,E09000018,Upper tier local authority,18/04/2020,0,557
Isle of Wight,E06000046,Upper tier local authority,18/04/2020,0,68
Islington,E09000019,Upper tier local authority,18/04/2020,0,366
Kensington and Chelsea,E09000020,Upper tier local authority,18/04/2020,0,407
Kent,E10000016,Upper tier local authority,18/04/2020,3,2308
"Kingston upon Hull, City of",E06000010,Upper tier local authority,18/04/2020,0,241
Kingston upon Thames,E09000021,Upper tier local authority,18/04/2020,0,365
Kirklees,E08000034,Upper tier local authority,18/04/2020,2,421
Knowsley,E08000011,Upper tier local authority,18/04/2020,0,390
Lambeth,E09000022,Upper tier local authority,18/04/2020,0,1016
Lancashire,E10000017,Upper tier local authority,18/04/2020,0,2018
Leeds,E08000035,Upper tier local authority,18/04/2020,0,893
Leicester,E06000016,Upper tier local authority,18/04/2020,0,463
Leicestershire,E10000018,Upper tier local authority,18/04/2020,0,678
Lewisham,E09000023,Upper tier local authority,18/04/2020,0,810
Lincolnshire,E10000019,Upper tier local authority,18/04/2020,0,584
Liverpool,E08000012,Upper tier local authority,18/04/2020,0,1119
Luton,E06000032,Upper tier local authority,18/04/2020,0,471
Manchester,E08000003,Upper tier local authority,18/04/2020,0,833
Medway,E06000035,Upper tier local authority,18/04/2020,0,476
Merton,E09000024,Upper tier local authority,18/04/2020,0,571
Middlesbrough,E06000002,Upper tier local authority,18/04/2020,0,367
Milton Keynes,E06000042,Upper tier local authority,18/04/2020,0,375
Newcastle upon Tyne,E08000021,Upper tier local authority,18/04/2020,0,704
Newham,E09000025,Upper tier local authority,18/04/2020,2,859
Norfolk,E10000020,Upper tier local authority,18/04/2020,0,977
North East Lincolnshire,E06000012,Upper tier local authority,18/04/2020,0,91
North Lincolnshire,E06000013,Upper tier local authority,18/04/2020,0,167
North Somerset,E06000024,Upper tier local authority,18/04/2020,2,159
North Tyneside,E08000022,Upper tier local authority,18/04/2020,0,371
North Yorkshire,E10000023,Upper tier local authority,18/04/2020,0,616
Northamptonshire,E10000021,Upper tier local authority,18/04/2020,0,877
Northumberland,E06000057,Upper tier local authority,18/04/2020,0,571
Nottingham,E06000018,Upper tier local authority,18/04/2020,0,385
Nottinghamshire,E10000024,Upper tier local authority,18/04/2020,0,853
Oldham,E08000004,Upper tier local authority,18/04/2020,1,445
Oxfordshire,E10000025,Upper tier local authority,18/04/2020,0,1158
Peterborough,E06000031,Upper tier local authority,18/04/2020,0,136
Plymouth,E06000026,Upper tier local authority,18/04/2020,1,199
Portsmouth,E06000044,Upper tier local authority,18/04/2020,0,232
Reading,E06000038,Upper tier local authority,18/04/2020,0,307
Redbridge,E09000026,Upper tier local authority,18/04/2020,0,589
Redcar and Cleveland,E06000003,Upper tier local authority,18/04/2020,0,212
Richmond upon Thames,E09000027,Upper tier local authority,18/04/2020,0,325
Rochdale,E08000005,Upper tier local authority,18/04/2020,0,318
Rotherham,E08000018,Upper tier local authority,18/04/2020,5,478
Rutland,E06000017,Upper tier local authority,18/04/2020,0,12
Salford,E08000006,Upper tier local authority,18/04/2020,0,445
Sandwell,E08000028,Upper tier local authority,18/04/2020,0,735
Sefton,E08000014,Upper tier local authority,18/04/2020,0,636
Sheffield,E08000019,Upper tier local authority,18/04/2020,15,1598
Shropshire,E06000051,Upper tier local authority,18/04/2020,0,314
Slough,E06000039,Upper tier local authority,18/04/2020,0,295
Solihull,E08000029,Upper tier local authority,18/04/2020,0,422
Somerset,E10000027,Upper tier local authority,18/04/2020,0,345
South Gloucestershire,E06000025,Upper tier local authority,18/04/2020,2,263
South Tyneside,E08000023,Upper tier local authority,18/04/2020,4,345
Southampton,E06000045,Upper tier local authority,18/04/2020,8,353
Southend-on-Sea,E06000033,Upper tier local authority,18/04/2020,0,251
Southwark,E09000028,Upper tier local authority,18/04/2020,0,1075
St. Helens,E08000013,Upper tier local authority,18/04/2020,0,457
Staffordshire,E10000028,Upper tier local authority,18/04/2020,7,1202
Stockport,E08000007,Upper tier local authority,18/04/2020,2,619
Stockton-on-Tees,E06000004,Upper tier local authority,18/04/2020,0,233
Stoke-on-Trent,E06000021,Upper tier local authority,18/04/2020,3,281
Suffolk,E10000029,Upper tier local authority,18/04/2020,0,618
Sunderland,E08000024,Upper tier local authority,18/04/2020,6,869
Surrey,E10000030,Upper tier local authority,18/04/2020,0,1941
Sutton,E09000029,Upper tier local authority,18/04/2020,0,574
Swindon,E06000030,Upper tier local authority,18/04/2020,0,259
Tameside,E08000008,Upper tier local authority,18/04/2020,0,365
Telford and Wrekin,E06000020,Upper tier local authority,18/04/2020,0,159
Thurrock,E06000034,Upper tier local authority,18/04/2020,0,218
Torbay,E06000027,Upper tier local authority,18/04/2020,0,123
Tower Hamlets,E09000030,Upper tier local authority,18/04/2020,0,548
Trafford,E08000009,Upper tier local authority,18/04/2020,1,454
Wakefield,E08000036,Upper tier local authority,18/04/2020,0,392
Walsall,E08000030,Upper tier local authority,18/04/2020,0,665
Waltham Forest,E09000031,Upper tier local authority,18/04/2020,0,631
Wandsworth,E09000032,Upper tier local authority,18/04/2020,0,830
Warrington,E06000007,Upper tier local authority,18/04/2020,0,437
Warwickshire,E10000031,Upper tier local authority,18/04/2020,0,805
West Berkshire,E06000037,Upper tier local authority,18/04/2020,1,202
West Sussex,E10000032,Upper tier local authority,18/04/2020,0,820
Westminster,E09000033,Upper tier local authority,18/04/2020,0,551
Wigan,E08000010,Upper tier local authority,18/04/2020,0,416
Wiltshire,E06000054,Upper tier local authority,18/04/2020,0,337
Windsor and Maidenhead,E06000040,Upper tier local authority,18/04/2020,0,182
Wirral,E08000015,Upper tier local authority,18/04/2020,0,762
Wokingham,E06000041,Upper tier local authority,18/04/2020,0,231
Wolverhampton,E08000031,Upper tier local authority,18/04/2020,0,558
Worcestershire,E10000034,Upper tier local authority,18/04/2020,0,845
York,E06000014,Upper tier local authority,18/04/2020,1,182
England,E92000001,Country,17/04/2020,1191,90501
West Midlands,E12000005,Region,17/04/2020,87,9417
East of England,E12000006,Region,17/04/2020,62,7476
North West,E12000002,Region,17/04/2020,104,13866
East Midlands,E12000004,Region,17/04/2020,117,5154
South West,E12000009,Region,17/04/2020,148,4659
London,E12000007,Region,17/04/2020,141,21354
Yorkshire and The Humber,E12000003,Region,17/04/2020,144,6851
North East,E12000001,Region,17/04/2020,141,5374
South East,E12000008,Region,17/04/2020,161,12519
Barking and Dagenham,E09000002,Upper tier local authority,17/04/2020,5,393
Barnet,E09000003,Upper tier local authority,17/04/2020,3,1069
Barnsley,E08000016,Upper tier local authority,17/04/2020,8,451
Bath and North East Somerset,E06000022,Upper tier local authority,17/04/2020,4,166
Bexley,E09000004,Upper tier local authority,17/04/2020,5,500
Birmingham,E08000025,Upper tier local authority,17/04/2020,12,2243
Bolton,E08000001,Upper tier local authority,17/04/2020,7,545
"Bournemouth, Christchurch and Poole",E06000058,Upper tier local authority,17/04/2020,6,308
Bradford,E08000032,Upper tier local authority,17/04/2020,25,563
Brent,E09000005,Upper tier local authority,17/04/2020,5,1182
Brighton and Hove,E06000043,Upper tier local authority,17/04/2020,4,292
"Bristol, City of",E06000023,Upper tier local authority,17/04/2020,10,454
Bromley,E09000006,Upper tier local authority,17/04/2020,12,900
Bury,E08000002,Upper tier local authority,17/04/2020,4,309
Calderdale,E08000033,Upper tier local authority,17/04/2020,7,187
Cambridgeshire,E10000003,Upper tier local authority,17/04/2020,2,502
Camden,E09000007,Upper tier local authority,17/04/2020,4,501
Cheshire East,E06000049,Upper tier local authority,17/04/2020,15,587
Cheshire West and Chester,E06000050,Upper tier local authority,17/04/2020,5,546
Cornwall and Isles of Scilly,E06000052,Upper tier local authority,17/04/2020,12,392
County Durham,E06000047,Upper tier local authority,17/04/2020,20,892
Coventry,E08000026,Upper tier local authority,17/04/2020,1,493
Croydon,E09000008,Upper tier local authority,17/04/2020,3,1170
Cumbria,E10000006,Upper tier local authority,17/04/2020,7,1467
Darlington,E06000005,Upper tier local authority,17/04/2020,4,178
Derby,E06000015,Upper tier local authority,17/04/2020,8,401
Derbyshire,E10000007,Upper tier local authority,17/04/2020,12,901
Devon,E10000008,Upper tier local authority,17/04/2020,19,516
Doncaster,E08000017,Upper tier local authority,17/04/2020,1,264
Dorset,E06000059,Upper tier local authority,17/04/2020,4,239
Dudley,E08000027,Upper tier local authority,17/04/2020,9,564
Ealing,E09000009,Upper tier local authority,17/04/2020,1,906
East Riding of Yorkshire,E06000011,Upper tier local authority,17/04/2020,8,330
East Sussex,E10000011,Upper tier local authority,17/04/2020,14,428
Enfield,E09000010,Upper tier local authority,17/04/2020,6,672
Essex,E10000012,Upper tier local authority,17/04/2020,7,1846
Gateshead,E08000037,Upper tier local authority,17/04/2020,17,558
Gloucestershire,E10000013,Upper tier local authority,17/04/2020,13,904
Greenwich,E09000011,Upper tier local authority,17/04/2020,5,560
Hackney,E09000012,Upper tier local authority,17/04/2020,6,552
Halton,E06000006,Upper tier local authority,17/04/2020,2,256
Hammersmith and Fulham,E09000013,Upper tier local authority,17/04/2020,6,465
Hampshire,E10000014,Upper tier local authority,17/04/2020,55,2095
Harrow,E09000015,Upper tier local authority,17/04/2020,4,761
Havering,E09000016,Upper tier local authority,17/04/2020,4,552
"Herefordshire, County of",E06000019,Upper tier local authority,17/04/2020,4,141
Hertfordshire,E10000015,Upper tier local authority,17/04/2020,13,1808
Hillingdon,E09000017,Upper tier local authority,17/04/2020,4,602
Hounslow,E09000018,Upper tier local authority,17/04/2020,1,557
Isle of Wight,E06000046,Upper tier local authority,17/04/2020,1,68
Islington,E09000019,Upper tier local authority,17/04/2020,3,366
Kensington and Chelsea,E09000020,Upper tier local authority,17/04/2020,2,407
Kent,E10000016,Upper tier local authority,17/04/2020,34,2305
"Kingston upon Hull, City of",E06000010,Upper tier local authority,17/04/2020,8,241
Kingston upon Thames,E09000021,Upper tier local authority,17/04/2020,1,365
Kirklees,E08000034,Upper tier local authority,17/04/2020,3,419
Knowsley,E08000011,Upper tier local authority,17/04/2020,4,390
Lambeth,E09000022,Upper tier local authority,17/04/2020,3,1016
Lancashire,E10000017,Upper tier local authority,17/04/2020,8,2018
Leeds,E08000035,Upper tier local authority,17/04/2020,18,893
Leicester,E06000016,Upper tier local authority,17/04/2020,10,463
Leicestershire,E10000018,Upper tier local authority,17/04/2020,32,678
Lewisham,E09000023,Upper tier local authority,17/04/2020,22,810
Lincolnshire,E10000019,Upper tier local authority,17/04/2020,1,584
Liverpool,E08000012,Upper tier local authority,17/04/2020,13,1119
Manchester,E08000003,Upper tier local authority,17/04/2020,5,833
Medway,E06000035,Upper tier local authority,17/04/2020,15,476
Merton,E09000024,Upper tier local authority,17/04/2020,6,571
Middlesbrough,E06000002,Upper tier local authority,17/04/2020,5,367
Newcastle upon Tyne,E08000021,Upper tier local authority,17/04/2020,11,704
Newham,E09000025,Upper tier local authority,17/04/2020,11,857
Norfolk,E10000020,Upper tier local authority,17/04/2020,32,977
North Somerset,E06000024,Upper tier local authority,17/04/2020,10,157
North Tyneside,E08000022,Upper tier local authority,17/04/2020,5,371
North Yorkshire,E10000023,Upper tier local authority,17/04/2020,7,616
Northamptonshire,E10000021,Upper tier local authority,17/04/2020,7,877
Northumberland,E06000057,Upper tier local authority,17/04/2020,19,571
Nottingham,E06000018,Upper tier local authority,17/04/2020,20,385
Nottinghamshire,E10000024,Upper tier local authority,17/04/2020,27,853
Oldham,E08000004,Upper tier local authority,17/04/2020,8,444
Oxfordshire,E10000025,Upper tier local authority,17/04/2020,5,1158
Peterborough,E06000031,Upper tier local authority,17/04/2020,3,136
Plymouth,E06000026,Upper tier local authority,17/04/2020,7,198
Portsmouth,E06000044,Upper tier local authority,17/04/2020,7,232
Redbridge,E09000026,Upper tier local authority,17/04/2020,3,589
Redcar and Cleveland,E06000003,Upper tier local authority,17/04/2020,2,212
Richmond upon Thames,E09000027,Upper tier local authority,17/04/2020,1,325
Rochdale,E08000005,Upper tier local authority,17/04/2020,2,318
Rotherham,E08000018,Upper tier local authority,17/04/2020,16,473
Salford,E08000006,Upper tier local authority,17/04/2020,3,445
Sandwell,E08000028,Upper tier local authority,17/04/2020,9,735
Sefton,E08000014,Upper tier local authority,17/04/2020,6,636
Sheffield,E08000019,Upper tier local authority,17/04/2020,32,1583
Shropshire,E06000051,Upper tier local authority,17/04/2020,2,314
Somerset,E10000027,Upper tier local authority,17/04/2020,33,345
South Gloucestershire,E06000025,Upper tier local authority,17/04/2020,6,261
South Tyneside,E08000023,Upper tier local authority,17/04/2020,23,341
Southampton,E06000045,Upper tier local authority,17/04/2020,18,345
Southwark,E09000028,Upper tier local authority,17/04/2020,7,1075
Staffordshire,E10000028,Upper tier local authority,17/04/2020,24,1195
Stockport,E08000007,Upper tier local authority,17/04/2020,6,617
Stockton-on-Tees,E06000004,Upper tier local authority,17/04/2020,1,233
Stoke-on-Trent,E06000021,Upper tier local authority,17/04/2020,12,278
Suffolk,E10000029,Upper tier local authority,17/04/2020,5,618
Sunderland,E08000024,Upper tier local authority,17/04/2020,34,863
Swindon,E06000030,Upper tier local authority,17/04/2020,6,259
Tameside,E08000008,Upper tier local authority,17/04/2020,2,365
Telford and Wrekin,E06000020,Upper tier local authority,17/04/2020,3,159
Torbay,E06000027,Upper tier local authority,17/04/2020,13,123
Tower Hamlets,E09000030,Upper tier local authority,17/04/2020,1,548
Trafford,E08000009,Upper tier local authority,17/04/2020,3,453
Wakefield,E08000036,Upper tier local authority,17/04/2020,1,392
Walsall,E08000030,Upper tier local authority,17/04/2020,4,665
Waltham Forest,E09000031,Upper tier local authority,17/04/2020,3,631
Wandsworth,E09000032,Upper tier local authority,17/04/2020,3,830
Warrington,E06000007,Upper tier local authority,17/04/2020,1,437
West Sussex,E10000032,Upper tier local authority,17/04/2020,5,820
Westminster,E09000033,Upper tier local authority,17/04/2020,1,551
Wigan,E08000010,Upper tier local authority,17/04/2020,1,416
Wiltshire,E06000054,Upper tier local authority,17/04/2020,5,337
Windsor and Maidenhead,E06000040,Upper tier local authority,17/04/2020,1,182
Wirral,E08000015,Upper tier local authority,17/04/2020,2,762
Wokingham,E06000041,Upper tier local authority,17/04/2020,2,231
Wolverhampton,E08000031,Upper tier local authority,17/04/2020,5,558
Worcestershire,E10000034,Upper tier local authority,17/04/2020,2,845
York,E06000014,Upper tier local authority,17/04/2020,10,181
England,E92000001,Country,16/04/2020,2570,89310
West Midlands,E12000005,Region,16/04/2020,290,9330
East of England,E12000006,Region,16/04/2020,148,7414
North West,E12000002,Region,16/04/2020,521,13762
East Midlands,E12000004,Region,16/04/2020,132,5037
South West,E12000009,Region,16/04/2020,224,4511
London,E12000007,Region,16/04/2020,420,21213
Yorkshire and The Humber,E12000003,Region,16/04/2020,169,6707
North East,E12000001,Region,16/04/2020,163,5233
South East,E12000008,Region,16/04/2020,352,12358
Barking and Dagenham,E09000002,Upper tier local authority,16/04/2020,7,388
Barnet,E09000003,Upper tier local authority,16/04/2020,12,1066
Barnsley,E08000016,Upper tier local authority,16/04/2020,2,443
Bath and North East Somerset,E06000022,Upper tier local authority,16/04/2020,4,162
Bedford,E06000055,Upper tier local authority,16/04/2020,1,289
Bexley,E09000004,Upper tier local authority,16/04/2020,13,495
Birmingham,E08000025,Upper tier local authority,16/04/2020,74,2231
Blackburn with Darwen,E06000008,Upper tier local authority,16/04/2020,8,222
Blackpool,E06000009,Upper tier local authority,16/04/2020,15,224
Bolton,E08000001,Upper tier local authority,16/04/2020,20,538
"Bournemouth, Christchurch and Poole",E06000058,Upper tier local authority,16/04/2020,17,302
Bradford,E08000032,Upper tier local authority,16/04/2020,15,538
Brent,E09000005,Upper tier local authority,16/04/2020,27,1177
Brighton and Hove,E06000043,Upper tier local authority,16/04/2020,11,288
"Bristol, City of",E06000023,Upper tier local authority,16/04/2020,27,444
Bromley,E09000006,Upper tier local authority,16/04/2020,22,888
Buckinghamshire,E10000002,Upper tier local authority,16/04/2020,27,613
Bury,E08000002,Upper tier local authority,16/04/2020,13,305
Calderdale,E08000033,Upper tier local authority,16/04/2020,5,180
Cambridgeshire,E10000003,Upper tier local authority,16/04/2020,19,500
Camden,E09000007,Upper tier local authority,16/04/2020,9,497
Central Bedfordshire,E06000056,Upper tier local authority,16/04/2020,3,360
Cheshire East,E06000049,Upper tier local authority,16/04/2020,34,572
Cheshire West and Chester,E06000050,Upper tier local authority,16/04/2020,17,541
Cornwall and Isles of Scilly,E06000052,Upper tier local authority,16/04/2020,24,380
County Durham,E06000047,Upper tier local authority,16/04/2020,35,872
Coventry,E08000026,Upper tier local authority,16/04/2020,3,492
Croydon,E09000008,Upper tier local authority,16/04/2020,28,1167
Cumbria,E10000006,Upper tier local authority,16/04/2020,32,1460
Darlington,E06000005,Upper tier local authority,16/04/2020,5,174
Derby,E06000015,Upper tier local authority,16/04/2020,4,393
Derbyshire,E10000007,Upper tier local authority,16/04/2020,22,889
Devon,E10000008,Upper tier local authority,16/04/2020,16,497
Doncaster,E08000017,Upper tier local authority,16/04/2020,1,263
Dorset,E06000059,Upper tier local authority,16/04/2020,4,235
Dudley,E08000027,Upper tier local authority,16/04/2020,30,555
Ealing,E09000009,Upper tier local authority,16/04/2020,16,905
East Riding of Yorkshire,E06000011,Upper tier local authority,16/04/2020,18,322
East Sussex,E10000011,Upper tier local authority,16/04/2020,14,414
Enfield,E09000010,Upper tier local authority,16/04/2020,17,666
Essex,E10000012,Upper tier local authority,16/04/2020,11,1839
Gateshead,E08000037,Upper tier local authority,16/04/2020,8,541
Gloucestershire,E10000013,Upper tier local authority,16/04/2020,52,891
Greenwich,E09000011,Upper tier local authority,16/04/2020,8,555
Hackney,E09000012,Upper tier local authority,16/04/2020,6,546
Halton,E06000006,Upper tier local authority,16/04/2020,8,254
Hammersmith and Fulham,E09000013,Upper tier local authority,16/04/2020,21,459
Hampshire,E10000014,Upper tier local authority,16/04/2020,59,2040
Haringey,E09000014,Upper tier local authority,16/04/2020,4,484
Harrow,E09000015,Upper tier local authority,16/04/2020,15,757
Hartlepool,E06000001,Upper tier local authority,16/04/2020,3,84
Havering,E09000016,Upper tier local authority,16/04/2020,17,548
"Herefordshire, County of",E06000019,Upper tier local authority,16/04/2020,5,137
Hertfordshire,E10000015,Upper tier local authority,16/04/2020,37,1795
Hillingdon,E09000017,Upper tier local authority,16/04/2020,13,598
Hounslow,E09000018,Upper tier local authority,16/04/2020,10,556
Isle of Wight,E06000046,Upper tier local authority,16/04/2020,8,67
Islington,E09000019,Upper tier local authority,16/04/2020,5,363
Kensington and Chelsea,E09000020,Upper tier local authority,16/04/2020,9,405
Kent,E10000016,Upper tier local authority,16/04/2020,92,2271
"Kingston upon Hull, City of",E06000010,Upper tier local authority,16/04/2020,10,233
Kingston upon Thames,E09000021,Upper tier local authority,16/04/2020,16,364
Kirklees,E08000034,Upper tier local authority,16/04/2020,18,416
Knowsley,E08000011,Upper tier local authority,16/04/2020,17,386
Lambeth,E09000022,Upper tier local authority,16/04/2020,18,1013
Lancashire,E10000017,Upper tier local authority,16/04/2020,78,2010
Leeds,E08000035,Upper tier local authority,16/04/2020,51,875
Leicester,E06000016,Upper tier local authority,16/04/2020,7,453
Leicestershire,E10000018,Upper tier local authority,16/04/2020,27,646
Lewisham,E09000023,Upper tier local authority,16/04/2020,15,788
Lincolnshire,E10000019,Upper tier local authority,16/04/2020,9,583
Liverpool,E08000012,Upper tier local authority,16/04/2020,40,1106
Luton,E06000032,Upper tier local authority,16/04/2020,3,471
Manchester,E08000003,Upper tier local authority,16/04/2020,15,828
Medway,E06000035,Upper tier local authority,16/04/2020,15,461
Merton,E09000024,Upper tier local authority,16/04/2020,8,565
Middlesbrough,E06000002,Upper tier local authority,16/04/2020,11,362
Milton Keynes,E06000042,Upper tier local authority,16/04/2020,14,375
Newcastle upon Tyne,E08000021,Upper tier local authority,16/04/2020,19,693
Newham,E09000025,Upper tier local authority,16/04/2020,12,846
Norfolk,E10000020,Upper tier local authority,16/04/2020,46,945
North East Lincolnshire,E06000012,Upper tier local authority,16/04/2020,1,91
North Lincolnshire,E06000013,Upper tier local authority,16/04/2020,2,167
North Somerset,E06000024,Upper tier local authority,16/04/2020,3,147
North Tyneside,E08000022,Upper tier local authority,16/04/2020,9,366
North Yorkshire,E10000023,Upper tier local authority,16/04/2020,23,609
Northamptonshire,E10000021,Upper tier local authority,16/04/2020,27,870
Northumberland,E06000057,Upper tier local authority,16/04/2020,14,552
Nottingham,E06000018,Upper tier local authority,16/04/2020,15,365
Nottinghamshire,E10000024,Upper tier local authority,16/04/2020,21,826
Oldham,E08000004,Upper tier local authority,16/04/2020,25,436
Oxfordshire,E10000025,Upper tier local authority,16/04/2020,34,1153
Peterborough,E06000031,Upper tier local authority,16/04/2020,10,133
Plymouth,E06000026,Upper tier local authority,16/04/2020,4,191
Portsmouth,E06000044,Upper tier local authority,16/04/2020,6,225
Redbridge,E09000026,Upper tier local authority,16/04/2020,9,586
Redcar and Cleveland,E06000003,Upper tier local authority,16/04/2020,6,210
Richmond upon Thames,E09000027,Upper tier local authority,16/04/2020,10,324
Rochdale,E08000005,Upper tier local authority,16/04/2020,12,316
Rotherham,E08000018,Upper tier local authority,16/04/2020,3,457
Salford,E08000006,Upper tier local authority,16/04/2020,30,442
Sandwell,E08000028,Upper tier local authority,16/04/2020,27,726
Sefton,E08000014,Upper tier local authority,16/04/2020,16,630
Sheffield,E08000019,Upper tier local authority,16/04/2020,1,1551
Shropshire,E06000051,Upper tier local authority,16/04/2020,11,312
Slough,E06000039,Upper tier local authority,16/04/2020,2,295
Solihull,E08000029,Upper tier local authority,16/04/2020,8,422
Somerset,E10000027,Upper tier local authority,16/04/2020,31,312
South Gloucestershire,E06000025,Upper tier local authority,16/04/2020,6,255
South Tyneside,E08000023,Upper tier local authority,16/04/2020,27,318
Southampton,E06000045,Upper tier local authority,16/04/2020,15,327
Southwark,E09000028,Upper tier local authority,16/04/2020,18,1068
St. Helens,E08000013,Upper tier local authority,16/04/2020,17,457
Staffordshire,E10000028,Upper tier local authority,16/04/2020,44,1171
Stockport,E08000007,Upper tier local authority,16/04/2020,21,611
Stockton-on-Tees,E06000004,Upper tier local authority,16/04/2020,3,232
Stoke-on-Trent,E06000021,Upper tier local authority,16/04/2020,12,266
Suffolk,E10000029,Upper tier local authority,16/04/2020,17,613
Sunderland,E08000024,Upper tier local authority,16/04/2020,23,829
Surrey,E10000030,Upper tier local authority,16/04/2020,19,1941
Sutton,E09000029,Upper tier local authority,16/04/2020,14,574
Swindon,E06000030,Upper tier local authority,16/04/2020,14,253
Tameside,E08000008,Upper tier local authority,16/04/2020,16,363
Telford and Wrekin,E06000020,Upper tier local authority,16/04/2020,6,156
Thurrock,E06000034,Upper tier local authority,16/04/2020,1,218
Tower Hamlets,E09000030,Upper tier local authority,16/04/2020,10,547
Trafford,E08000009,Upper tier local authority,16/04/2020,17,450
Wakefield,E08000036,Upper tier local authority,16/04/2020,9,391
Walsall,E08000030,Upper tier local authority,16/04/2020,16,661
Waltham Forest,E09000031,Upper tier local authority,16/04/2020,7,628
Wandsworth,E09000032,Upper tier local authority,16/04/2020,17,827
Warrington,E06000007,Upper tier local authority,16/04/2020,23,436
Warwickshire,E10000031,Upper tier local authority,16/04/2020,9,805
West Berkshire,E06000037,Upper tier local authority,16/04/2020,1,201
West Sussex,E10000032,Upper tier local authority,16/04/2020,32,815
Westminster,E09000033,Upper tier local authority,16/04/2020,7,550
Wigan,E08000010,Upper tier local authority,16/04/2020,20,415
Wiltshire,E06000054,Upper tier local authority,16/04/2020,22,332
Windsor and Maidenhead,E06000040,Upper tier local authority,16/04/2020,1,181
